"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"21","Connor Hellebuyck","WPG","57","2789.7333333333","1230","1116","114","0.907","2.45","2.99","123.42","310","253","57","0.816","1.23","-0.93","323","281","42","0.870","0.90","-2.12","543","528","15","0.972","0.32","4.61","32","263","35.45","19.75"
"65","Akira Schmid","VGK","34","1647.3833333333","633","574","59","0.907","2.15","1.21","67.13","153","126","27","0.824","0.98","0.67","174","156","18","0.897","0.66","3.48","272","258","14","0.949","0.51","-4.18","30","167","36.16","22.36"
"26","Eric Comrie","WPG","25","1117.05","519","470","49","0.906","2.63","0.36","53.33","136","109","27","0.801","1.45","-2.40","127","112","15","0.882","0.81","0.68","230","223","7","0.970","0.38","1.31","26","124","36.27","20.16"
"42","Karel Vejmelka","UTA","64","3008.7","1252","1134","118","0.906","2.35","1.08","127.69","327","265","62","0.810","1.24","-2.86","316","276","40","0.873","0.80","-0.98","527","511","16","0.970","0.32","3.03","55","264","36.53","18.18"
"48","Joseph Woll","TOR","39","1832.4166666667","965","874","91","0.906","2.98","0.78","87.57","227","192","35","0.846","1.15","6.05","254","211","43","0.831","1.41","-11.64","446","433","13","0.971","0.43","3.11","35","165","35.85","21.00"
"91","Brandon Bussi","CAR","39","1911.1666666667","714","647","67","0.906","2.10","0.91","73.36","203","169","34","0.833","1.07","2.71","210","184","26","0.876","0.82","-0.07","254","247","7","0.972","0.22","2.17","21","144","34.50","18.40"
"4","Jake Allen","N.J","37","1835.0166666667","851","770","81","0.905","2.65","-0.06","87.47","234","187","47","0.799","1.54","-4.68","230","204","26","0.887","0.85","2.40","350","342","8","0.977","0.26","4.64","22","193","34.58","17.93"
"30","Alex Nedeljkovic","S.J","40","1844.85","814","737","77","0.905","2.50","0.42","78.18","229","191","38","0.834","1.24","3.42","199","173","26","0.869","0.85","-1.43","342","329","13","0.962","0.42","-0.65","40","140","35.76","22.47"
"93","Sergei Murashov","PIT","5","226.46666666667","84","76","8","0.905","2.12","-0.01","7.52","15","12","3","0.800","0.79","-0.29","18","15","3","0.833","0.79","-0.78","49","47","2","0.959","0.53","-0.23","5","9","36.31","21.00"
"74","Nico Daws","N.J","3","157.38333333333","73","66","7","0.904","2.67","-0.06","8.67","27","22","5","0.815","1.91","-0.12","17","15","2","0.882","0.76","0.10","24","24","0","1.000","0.00","0.87","2","18","31.81","15.00"
"19","Joonas Korpisalo","BOS","31","1373.2166666667","648","585","63","0.903","2.75","-1.37","66.58","174","145","29","0.833","1.27","2.47","160","136","24","0.850","1.05","-4.24","292","282","10","0.966","0.44","0.54","30","144","34.54","21.54"
"33","Jonas Johansson","T.B","25","1135.6166666667","516","466","50","0.903","2.64","-0.92","45.19","128","106","22","0.828","1.16","1.15","131","107","24","0.817","1.27","-7.83","226","222","4","0.982","0.21","4.16","26","90","37.66","21.54"
